[11/16 00:19:31] detectron2 INFO: Rank of current process: 0. World size: 4
[11/16 00:19:31] detectron2 INFO: Command line arguments: Namespace(config_file='configs/coco/defrcn_fsod_r101_novel_30shot_seed2.yaml', dist_url='tcp://127.0.0.1:55719', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=4, num_machines=1, opts=['MODEL.WEIGHTS', 'checkpoints/coco/ebm/defrcn_det_r101_base/model_final-init.pth', 'OUTPUT_DIR', 'checkpoints/coco/ebm/defrcn_gfsod_r101_novel/tfa-like/30shot_seed2', 'TEST.PCB_MODELPATH', '.pretrain_weights/resnet101-5d3b4d8f.pth'], resume=False, start_iter=-1)
[11/16 00:19:31] detectron2 INFO: Contents of args.config_file=configs/coco/defrcn_fsod_r101_novel_30shot_seed2.yaml:
_BASE_: "../Base-RCNN.yaml"
MODEL:
  WEIGHTS: "/Path/to/Base/Pretrain/Weight"
  MASK_ON: False
  BACKBONE:
    FREEZE: False
  RESNETS:
    DEPTH: 101
  RPN:
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.0
    FREEZE: False
  ROI_HEADS:
    NUM_CLASSES: 20
    FREEZE_FEAT: True
    CLS_DROPOUT: True
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.01
DATASETS:
  TRAIN: ("coco14_trainval_novel_30shot_seed2", )
  TEST: ('coco14_test_novel',)
SOLVER:
  IMS_PER_BATCH: 16
  BASE_LR: 0.01
  STEPS: (3200,)
  MAX_ITER: 4000
  CHECKPOINT_PERIOD: 100000
  WARMUP_ITERS: 0
TEST:
  PCB_ENABLE: True
  PCB_MODELPATH: "/Path/to/ImageNet/Pre-Train/Weight"
OUTPUT_DIR: "/Path/to/Output/Dir"
[11/16 00:19:31] detectron2 INFO: Full config saved to /home/dso/DeFRCN/checkpoints/coco/ebm/defrcn_gfsod_r101_novel/tfa-like/30shot_seed2/config.yaml
[11/16 00:19:31] d2.utils.env INFO: Using a generated random seed 33753282
[11/16 00:19:32] d2.modeling.backbone.resnet WARNING: ResNet.make_stage(first_stride=) is deprecated!  Use 'stride_per_block' or 'stride' instead.
[11/16 00:19:32] defrcn.dataloader.build INFO: Removed 0 images with no usable annotations. 405 images left.
[11/16 00:19:32] defrcn.dataloader.build INFO: Distribution of instances among all 20 categories:
[36m|   category   | #instances   |  category  | #instances   |   category   | #instances   |
|:------------:|:-------------|:----------:|:-------------|:------------:|:-------------|
|    person    | 30           |  bicycle   | 30           |     car      | 30           |
|  motorcycle  | 30           |  airplane  | 30           |     bus      | 30           |
|    train     | 30           |    boat    | 30           |     bird     | 30           |
|     cat      | 30           |    dog     | 30           |    horse     | 30           |
|    sheep     | 30           |    cow     | 30           |    bottle    | 30           |
|    chair     | 30           |   couch    | 30           | potted plant | 30           |
| dining table | 30           |     tv     | 30           |              |              |
|    total     | 600          |            |              |              |              |[0m
[11/16 00:19:32] defrcn.dataloader.dataset_mapper INFO: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/16 00:19:32] defrcn.dataloader.build INFO: Using training sampler TrainingSampler
[11/16 00:19:32] d2.data.common INFO: Serializing 405 elements to byte tensors and concatenating them all ...
[11/16 00:19:32] d2.data.common INFO: Serialized dataset takes 0.12 MiB
[11/16 00:19:33] fvcore.common.checkpoint INFO: [Checkpointer] Loading from checkpoints/coco/ebm/defrcn_det_r101_base/model_final-init.pth ...
[11/16 00:19:33] d2.engine.train_loop INFO: Starting training from iteration 0
[11/16 00:19:52] d2.utils.events INFO:  eta: 0:37:19  iter: 19  total_loss: 0.8648  loss_cls: 0.5133  loss_box_reg: 0.1373  loss_rpn_cls: 0.1654  loss_rpn_loc: 0.07502  time: 0.5614  data_time: 0.4064  lr: 0.01  max_mem: 5384M
[11/16 00:20:04] d2.utils.events INFO:  eta: 0:37:47  iter: 39  total_loss: 0.8558  loss_cls: 0.5006  loss_box_reg: 0.1476  loss_rpn_cls: 0.1228  loss_rpn_loc: 0.06  time: 0.5691  data_time: 0.0173  lr: 0.01  max_mem: 5384M
[11/16 00:20:15] d2.utils.events INFO:  eta: 0:37:35  iter: 59  total_loss: 0.5452  loss_cls: 0.2419  loss_box_reg: 0.1409  loss_rpn_cls: 0.1072  loss_rpn_loc: 0.07135  time: 0.5708  data_time: 0.0171  lr: 0.01  max_mem: 5384M
[11/16 00:20:27] d2.utils.events INFO:  eta: 0:37:24  iter: 79  total_loss: 0.5267  loss_cls: 0.2084  loss_box_reg: 0.1433  loss_rpn_cls: 0.1054  loss_rpn_loc: 0.05901  time: 0.5709  data_time: 0.0147  lr: 0.01  max_mem: 5384M
[11/16 00:20:38] d2.utils.events INFO:  eta: 0:37:06  iter: 99  total_loss: 0.5175  loss_cls: 0.199  loss_box_reg: 0.1419  loss_rpn_cls: 0.1035  loss_rpn_loc: 0.05936  time: 0.5722  data_time: 0.0150  lr: 0.01  max_mem: 5384M
[11/16 00:20:50] d2.utils.events INFO:  eta: 0:37:01  iter: 119  total_loss: 0.4968  loss_cls: 0.1874  loss_box_reg: 0.1453  loss_rpn_cls: 0.09815  loss_rpn_loc: 0.0648  time: 0.5720  data_time: 0.0163  lr: 0.01  max_mem: 5384M
[11/16 00:21:01] d2.utils.events INFO:  eta: 0:36:55  iter: 139  total_loss: 0.483  loss_cls: 0.1925  loss_box_reg: 0.1383  loss_rpn_cls: 0.09764  loss_rpn_loc: 0.0552  time: 0.5733  data_time: 0.0156  lr: 0.01  max_mem: 5384M
[11/16 00:21:13] d2.utils.events INFO:  eta: 0:36:47  iter: 159  total_loss: 0.4929  loss_cls: 0.1814  loss_box_reg: 0.1421  loss_rpn_cls: 0.09445  loss_rpn_loc: 0.04987  time: 0.5743  data_time: 0.0181  lr: 0.01  max_mem: 5384M
[11/16 00:21:25] d2.utils.events INFO:  eta: 0:36:42  iter: 179  total_loss: 0.4764  loss_cls: 0.1727  loss_box_reg: 0.1353  loss_rpn_cls: 0.0924  loss_rpn_loc: 0.06599  time: 0.5770  data_time: 0.0174  lr: 0.01  max_mem: 5384M
[11/16 00:21:36] d2.utils.events INFO:  eta: 0:36:30  iter: 199  total_loss: 0.4384  loss_cls: 0.1647  loss_box_reg: 0.1349  loss_rpn_cls: 0.08167  loss_rpn_loc: 0.05243  time: 0.5766  data_time: 0.0155  lr: 0.01  max_mem: 5384M
[11/16 00:21:48] d2.utils.events INFO:  eta: 0:36:19  iter: 219  total_loss: 0.465  loss_cls: 0.1765  loss_box_reg: 0.1356  loss_rpn_cls: 0.08601  loss_rpn_loc: 0.06615  time: 0.5765  data_time: 0.0149  lr: 0.01  max_mem: 5384M
[11/16 00:22:00] d2.utils.events INFO:  eta: 0:36:07  iter: 239  total_loss: 0.4559  loss_cls: 0.1743  loss_box_reg: 0.1314  loss_rpn_cls: 0.08668  loss_rpn_loc: 0.05563  time: 0.5767  data_time: 0.0150  lr: 0.01  max_mem: 5384M
[11/16 00:22:11] d2.utils.events INFO:  eta: 0:35:56  iter: 259  total_loss: 0.4228  loss_cls: 0.1592  loss_box_reg: 0.1382  loss_rpn_cls: 0.07296  loss_rpn_loc: 0.04918  time: 0.5764  data_time: 0.0166  lr: 0.01  max_mem: 5384M
[11/16 00:22:23] d2.utils.events INFO:  eta: 0:35:45  iter: 279  total_loss: 0.4165  loss_cls: 0.1637  loss_box_reg: 0.1295  loss_rpn_cls: 0.07369  loss_rpn_loc: 0.0563  time: 0.5766  data_time: 0.0141  lr: 0.01  max_mem: 5384M
