[11/18 21:04:45] detectron2 INFO: Rank of current process: 0. World size: 4
[11/18 21:04:45] detectron2 INFO: Command line arguments: Namespace(config_file='configs/voc/defrcn_fsod_r101_novel2_10shot_seed4.yaml', dist_url='tcp://127.0.0.1:55719', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=4, num_machines=1, opts=['MODEL.WEIGHTS', 'checkpoints/voc/ebm/defrcn_det_r101_base2/model_final-remove.pth', 'OUTPUT_DIR', 'checkpoints/voc/ebm/defrcn_gfsod_r101_novel2/tfa-like/10shot_seed4', 'TEST.PCB_MODELPATH', '.pretrain_weights/resnet101-5d3b4d8f.pth'], resume=False, start_iter=-1)
[11/18 21:04:45] detectron2 INFO: Contents of args.config_file=configs/voc/defrcn_fsod_r101_novel2_10shot_seed4.yaml:
_BASE_: "../Base-RCNN.yaml"
MODEL:
  WEIGHTS: "/Path/to/Base/Pretrain/Weight"
  MASK_ON: False
  BACKBONE:
    FREEZE: False
  RESNETS:
    DEPTH: 101
  RPN:
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.0
    FREEZE: False
  ROI_HEADS:
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.001
    NUM_CLASSES: 5
    FREEZE_FEAT: True
    CLS_DROPOUT: True
INPUT:
  MIN_SIZE_TRAIN: (480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800)
  MIN_SIZE_TEST: 800
DATASETS:
  TRAIN: ("voc_2007_trainval_novel2_10shot_seed4", )
  TEST: ("voc_2007_test_novel2",)
SOLVER:
  IMS_PER_BATCH: 16
  BASE_LR: 0.01
  STEPS: (3200,)
  MAX_ITER: 4000
  CHECKPOINT_PERIOD: 100000
  WARMUP_ITERS: 0
TEST:
  PCB_ENABLE: True
  PCB_MODELPATH: "/Path/to/ImageNet/Pre-Train/Weight"
OUTPUT_DIR: "/Path/to/Output/Dir"
[11/18 21:04:45] detectron2 INFO: Full config saved to /home/dso/DeFRCN/checkpoints/voc/ebm/defrcn_gfsod_r101_novel2/tfa-like/10shot_seed4/config.yaml
[11/18 21:04:45] d2.utils.env INFO: Using a generated random seed 47668973
[11/18 21:04:46] d2.modeling.backbone.resnet WARNING: ResNet.make_stage(first_stride=) is deprecated!  Use 'stride_per_block' or 'stride' instead.
[11/18 21:04:46] defrcn.dataloader.build INFO: Removed 0 images with no usable annotations. 50 images left.
[11/18 21:04:46] defrcn.dataloader.build INFO: Distribution of instances among all 5 categories:
[36m|  category  | #instances   |  category  | #instances   |  category  | #instances   |
|:----------:|:-------------|:----------:|:-------------|:----------:|:-------------|
| aeroplane  | 10           |   bottle   | 10           |    cow     | 10           |
|   horse    | 10           |    sofa    | 10           |            |              |
|   total    | 50           |            |              |            |              |[0m
[11/18 21:04:46] defrcn.dataloader.dataset_mapper INFO: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/18 21:04:46] defrcn.dataloader.build INFO: Using training sampler TrainingSampler
[11/18 21:04:46] d2.data.common INFO: Serializing 50 elements to byte tensors and concatenating them all ...
[11/18 21:04:46] d2.data.common INFO: Serialized dataset takes 0.01 MiB
[11/18 21:04:46] fvcore.common.checkpoint INFO: [Checkpointer] Loading from checkpoints/voc/ebm/defrcn_det_r101_base2/model_final-remove.pth ...
[11/18 21:04:47] d2.engine.train_loop INFO: Starting training from iteration 0
[11/18 21:04:59] d2.utils.events INFO:  eta: 0:33:55  iter: 19  total_loss: 0.5815  loss_cls: 0.3131  loss_box_reg: 0.1404  loss_rpn_cls: 0.08381  loss_rpn_loc: 0.06379  time: 0.5141  data_time: 0.1034  lr: 0.01  max_mem: 5124M
[11/18 21:05:09] d2.utils.events INFO:  eta: 0:33:40  iter: 39  total_loss: 0.4804  loss_cls: 0.2107  loss_box_reg: 0.1363  loss_rpn_cls: 0.06214  loss_rpn_loc: 0.05815  time: 0.5127  data_time: 0.0104  lr: 0.01  max_mem: 5124M
[11/18 21:05:20] d2.utils.events INFO:  eta: 0:33:14  iter: 59  total_loss: 0.3632  loss_cls: 0.1423  loss_box_reg: 0.1325  loss_rpn_cls: 0.05236  loss_rpn_loc: 0.05037  time: 0.5104  data_time: 0.0121  lr: 0.01  max_mem: 5124M
[11/18 21:05:30] d2.utils.events INFO:  eta: 0:33:28  iter: 79  total_loss: 0.3265  loss_cls: 0.1112  loss_box_reg: 0.1109  loss_rpn_cls: 0.0487  loss_rpn_loc: 0.05304  time: 0.5129  data_time: 0.0120  lr: 0.01  max_mem: 5220M
[11/18 21:05:40] d2.utils.events INFO:  eta: 0:33:18  iter: 99  total_loss: 0.2903  loss_cls: 0.1017  loss_box_reg: 0.09708  loss_rpn_cls: 0.03748  loss_rpn_loc: 0.04693  time: 0.5128  data_time: 0.0099  lr: 0.01  max_mem: 5220M
[11/18 21:05:50] d2.utils.events INFO:  eta: 0:33:07  iter: 119  total_loss: 0.2844  loss_cls: 0.1009  loss_box_reg: 0.09077  loss_rpn_cls: 0.04025  loss_rpn_loc: 0.04717  time: 0.5116  data_time: 0.0114  lr: 0.01  max_mem: 5220M
[11/18 21:06:01] d2.utils.events INFO:  eta: 0:33:02  iter: 139  total_loss: 0.2732  loss_cls: 0.09448  loss_box_reg: 0.08248  loss_rpn_cls: 0.03751  loss_rpn_loc: 0.05319  time: 0.5126  data_time: 0.0113  lr: 0.01  max_mem: 5220M
[11/18 21:06:11] d2.utils.events INFO:  eta: 0:32:49  iter: 159  total_loss: 0.2563  loss_cls: 0.09461  loss_box_reg: 0.07804  loss_rpn_cls: 0.03342  loss_rpn_loc: 0.04354  time: 0.5129  data_time: 0.0121  lr: 0.01  max_mem: 5220M
[11/18 21:06:21] d2.utils.events INFO:  eta: 0:32:33  iter: 179  total_loss: 0.2285  loss_cls: 0.09189  loss_box_reg: 0.07393  loss_rpn_cls: 0.0289  loss_rpn_loc: 0.03666  time: 0.5122  data_time: 0.0118  lr: 0.01  max_mem: 5220M
[11/18 21:06:32] d2.utils.events INFO:  eta: 0:32:27  iter: 199  total_loss: 0.2376  loss_cls: 0.08713  loss_box_reg: 0.07048  loss_rpn_cls: 0.03238  loss_rpn_loc: 0.04676  time: 0.5125  data_time: 0.0109  lr: 0.01  max_mem: 5220M
[11/18 21:06:42] d2.utils.events INFO:  eta: 0:32:16  iter: 219  total_loss: 0.2262  loss_cls: 0.08629  loss_box_reg: 0.07007  loss_rpn_cls: 0.02654  loss_rpn_loc: 0.03976  time: 0.5124  data_time: 0.0103  lr: 0.01  max_mem: 5222M
[11/18 21:06:52] d2.utils.events INFO:  eta: 0:32:03  iter: 239  total_loss: 0.2138  loss_cls: 0.08261  loss_box_reg: 0.0657  loss_rpn_cls: 0.02564  loss_rpn_loc: 0.03484  time: 0.5121  data_time: 0.0103  lr: 0.01  max_mem: 5222M
[11/18 21:07:02] d2.utils.events INFO:  eta: 0:31:52  iter: 259  total_loss: 0.2068  loss_cls: 0.08367  loss_box_reg: 0.0653  loss_rpn_cls: 0.02378  loss_rpn_loc: 0.03797  time: 0.5123  data_time: 0.0103  lr: 0.01  max_mem: 5222M
[11/18 21:07:13] d2.utils.events INFO:  eta: 0:31:46  iter: 279  total_loss: 0.2014  loss_cls: 0.08009  loss_box_reg: 0.05961  loss_rpn_cls: 0.02397  loss_rpn_loc: 0.03589  time: 0.5127  data_time: 0.0115  lr: 0.01  max_mem: 5222M
