[11/19 18:57:00] detectron2 INFO: Rank of current process: 0. World size: 4
[11/19 18:57:00] detectron2 INFO: Command line arguments: Namespace(config_file='configs/voc/defrcn_fsod_r101_novel2_5shot_seed8.yaml', dist_url='tcp://127.0.0.1:55719', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=4, num_machines=1, opts=['MODEL.WEIGHTS', 'checkpoints/voc/ebm/defrcn_det_r101_base2/model_final-remove.pth', 'OUTPUT_DIR', 'checkpoints/voc/ebm/defrcn_gfsod_r101_novel2/tfa-like/5shot_seed8', 'TEST.PCB_MODELPATH', '.pretrain_weights/resnet101-5d3b4d8f.pth'], resume=False, start_iter=-1)
[11/19 18:57:00] detectron2 INFO: Contents of args.config_file=configs/voc/defrcn_fsod_r101_novel2_5shot_seed8.yaml:
_BASE_: "../Base-RCNN.yaml"
MODEL:
  WEIGHTS: "/Path/to/Base/Pretrain/Weight"
  MASK_ON: False
  BACKBONE:
    FREEZE: False
  RESNETS:
    DEPTH: 101
  RPN:
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.0
    FREEZE: False
  ROI_HEADS:
    ENABLE_DECOUPLE: True
    BACKWARD_SCALE: 0.001
    NUM_CLASSES: 5
    FREEZE_FEAT: True
    CLS_DROPOUT: True
INPUT:
  MIN_SIZE_TRAIN: (480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800)
  MIN_SIZE_TEST: 800
DATASETS:
  TRAIN: ("voc_2007_trainval_novel2_5shot_seed8", )
  TEST: ("voc_2007_test_novel2",)
SOLVER:
  IMS_PER_BATCH: 16
  BASE_LR: 0.01
  STEPS: (1600,)
  MAX_ITER: 2000
  CHECKPOINT_PERIOD: 100000
  WARMUP_ITERS: 0
TEST:
  PCB_ENABLE: True
  PCB_MODELPATH: "/Path/to/ImageNet/Pre-Train/Weight"
OUTPUT_DIR: "/Path/to/Output/Dir"
[11/19 18:57:00] detectron2 INFO: Full config saved to /home/dso/DeFRCN/checkpoints/voc/ebm/defrcn_gfsod_r101_novel2/tfa-like/5shot_seed8/config.yaml
[11/19 18:57:00] d2.utils.env INFO: Using a generated random seed 3312369
[11/19 18:57:01] d2.modeling.backbone.resnet WARNING: ResNet.make_stage(first_stride=) is deprecated!  Use 'stride_per_block' or 'stride' instead.
[11/19 18:57:01] defrcn.dataloader.build INFO: Removed 0 images with no usable annotations. 25 images left.
[11/19 18:57:01] defrcn.dataloader.build INFO: Distribution of instances among all 5 categories:
[36m|  category  | #instances   |  category  | #instances   |  category  | #instances   |
|:----------:|:-------------|:----------:|:-------------|:----------:|:-------------|
| aeroplane  | 5            |   bottle   | 5            |    cow     | 5            |
|   horse    | 5            |    sofa    | 5            |            |              |
|   total    | 25           |            |              |            |              |[0m
[11/19 18:57:01] defrcn.dataloader.dataset_mapper INFO: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/19 18:57:01] defrcn.dataloader.build INFO: Using training sampler TrainingSampler
[11/19 18:57:01] d2.data.common INFO: Serializing 25 elements to byte tensors and concatenating them all ...
[11/19 18:57:01] d2.data.common INFO: Serialized dataset takes 0.01 MiB
[11/19 18:57:01] fvcore.common.checkpoint INFO: [Checkpointer] Loading from checkpoints/voc/ebm/defrcn_det_r101_base2/model_final-remove.pth ...
[11/19 18:57:02] d2.engine.train_loop INFO: Starting training from iteration 0
[11/19 18:57:14] d2.utils.events INFO:  eta: 0:17:21  iter: 19  total_loss: 0.527  loss_cls: 0.2929  loss_box_reg: 0.1356  loss_rpn_cls: 0.06823  loss_rpn_loc: 0.03944  time: 0.5252  data_time: 0.1064  lr: 0.01  max_mem: 5382M
[11/19 18:57:25] d2.utils.events INFO:  eta: 0:17:10  iter: 39  total_loss: 0.3727  loss_cls: 0.1757  loss_box_reg: 0.1168  loss_rpn_cls: 0.04864  loss_rpn_loc: 0.03067  time: 0.5225  data_time: 0.0091  lr: 0.01  max_mem: 5382M
[11/19 18:57:35] d2.utils.events INFO:  eta: 0:16:56  iter: 59  total_loss: 0.2919  loss_cls: 0.121  loss_box_reg: 0.1064  loss_rpn_cls: 0.03459  loss_rpn_loc: 0.02845  time: 0.5225  data_time: 0.0091  lr: 0.01  max_mem: 5382M
[11/19 18:57:46] d2.utils.events INFO:  eta: 0:16:48  iter: 79  total_loss: 0.2597  loss_cls: 0.09962  loss_box_reg: 0.1033  loss_rpn_cls: 0.02652  loss_rpn_loc: 0.02794  time: 0.5234  data_time: 0.0100  lr: 0.01  max_mem: 5382M
[11/19 18:57:56] d2.utils.events INFO:  eta: 0:16:34  iter: 99  total_loss: 0.2397  loss_cls: 0.09054  loss_box_reg: 0.09535  loss_rpn_cls: 0.02422  loss_rpn_loc: 0.0267  time: 0.5223  data_time: 0.0095  lr: 0.01  max_mem: 5383M
[11/19 18:58:07] d2.utils.events INFO:  eta: 0:16:23  iter: 119  total_loss: 0.2309  loss_cls: 0.08576  loss_box_reg: 0.09565  loss_rpn_cls: 0.0212  loss_rpn_loc: 0.0242  time: 0.5224  data_time: 0.0092  lr: 0.01  max_mem: 5383M
[11/19 18:58:17] d2.utils.events INFO:  eta: 0:16:10  iter: 139  total_loss: 0.2077  loss_cls: 0.08058  loss_box_reg: 0.08315  loss_rpn_cls: 0.02213  loss_rpn_loc: 0.0295  time: 0.5215  data_time: 0.0096  lr: 0.01  max_mem: 5383M
[11/19 18:58:27] d2.utils.events INFO:  eta: 0:15:57  iter: 159  total_loss: 0.1968  loss_cls: 0.0805  loss_box_reg: 0.07317  loss_rpn_cls: 0.02115  loss_rpn_loc: 0.02235  time: 0.5212  data_time: 0.0093  lr: 0.01  max_mem: 5383M
[11/19 18:58:38] d2.utils.events INFO:  eta: 0:15:46  iter: 179  total_loss: 0.1921  loss_cls: 0.0757  loss_box_reg: 0.07288  loss_rpn_cls: 0.01751  loss_rpn_loc: 0.0249  time: 0.5208  data_time: 0.0090  lr: 0.01  max_mem: 5383M
[11/19 18:58:48] d2.utils.events INFO:  eta: 0:15:36  iter: 199  total_loss: 0.1748  loss_cls: 0.07131  loss_box_reg: 0.06459  loss_rpn_cls: 0.01744  loss_rpn_loc: 0.02381  time: 0.5207  data_time: 0.0087  lr: 0.01  max_mem: 5383M
[11/19 18:58:59] d2.utils.events INFO:  eta: 0:15:25  iter: 219  total_loss: 0.1746  loss_cls: 0.0686  loss_box_reg: 0.06267  loss_rpn_cls: 0.01721  loss_rpn_loc: 0.02272  time: 0.5209  data_time: 0.0091  lr: 0.01  max_mem: 5383M
[11/19 18:59:09] d2.utils.events INFO:  eta: 0:15:15  iter: 239  total_loss: 0.1708  loss_cls: 0.06763  loss_box_reg: 0.06176  loss_rpn_cls: 0.01601  loss_rpn_loc: 0.02774  time: 0.5205  data_time: 0.0092  lr: 0.01  max_mem: 5383M
[11/19 18:59:19] d2.utils.events INFO:  eta: 0:15:05  iter: 259  total_loss: 0.168  loss_cls: 0.06766  loss_box_reg: 0.05941  loss_rpn_cls: 0.01442  loss_rpn_loc: 0.02176  time: 0.5205  data_time: 0.0091  lr: 0.01  max_mem: 5383M
[11/19 18:59:30] d2.utils.events INFO:  eta: 0:14:54  iter: 279  total_loss: 0.1615  loss_cls: 0.06303  loss_box_reg: 0.05554  loss_rpn_cls: 0.01201  loss_rpn_loc: 0.0274  time: 0.5207  data_time: 0.0089  lr: 0.01  max_mem: 5383M
[11/19 18:59:40] d2.utils.events INFO:  eta: 0:14:44  iter: 299  total_loss: 0.1574  loss_cls: 0.06601  loss_box_reg: 0.05236  loss_rpn_cls: 0.01403  loss_rpn_loc: 0.02161  time: 0.5204  data_time: 0.0094  lr: 0.01  max_mem: 5383M
[11/19 18:59:51] d2.utils.events INFO:  eta: 0:14:33  iter: 319  total_loss: 0.1544  loss_cls: 0.06208  loss_box_reg: 0.05491  loss_rpn_cls: 0.01284  loss_rpn_loc: 0.0221  time: 0.5206  data_time: 0.0095  lr: 0.01  max_mem: 5383M
[11/19 19:00:01] d2.utils.events INFO:  eta: 0:14:23  iter: 339  total_loss: 0.1515  loss_cls: 0.06443  loss_box_reg: 0.05448  loss_rpn_cls: 0.01193  loss_rpn_loc: 0.02064  time: 0.5207  data_time: 0.0083  lr: 0.01  max_mem: 5383M
[11/19 19:00:12] d2.utils.events INFO:  eta: 0:14:13  iter: 359  total_loss: 0.1481  loss_cls: 0.06336  loss_box_reg: 0.04956  loss_rpn_cls: 0.01175  loss_rpn_loc: 0.01809  time: 0.5210  data_time: 0.0082  lr: 0.01  max_mem: 5383M
[11/19 19:00:22] d2.utils.events INFO:  eta: 0:14:03  iter: 379  total_loss: 0.1547  loss_cls: 0.0634  loss_box_reg: 0.05527  loss_rpn_cls: 0.0114  loss_rpn_loc: 0.01857  time: 0.5208  data_time: 0.0085  lr: 0.01  max_mem: 5383M
[11/19 19:00:32] d2.utils.events INFO:  eta: 0:13:52  iter: 399  total_loss: 0.1473  loss_cls: 0.05985  loss_box_reg: 0.05216  loss_rpn_cls: 0.01197  loss_rpn_loc: 0.02075  time: 0.5206  data_time: 0.0094  lr: 0.01  max_mem: 5383M
